Question,Label
Does she often come up with creative solutions to problems?,(Innovation)
Does he offer clarity and direction while working in groups?,(Ease_of_Working_Together)
Does she encourage open dialogue and transparency in her leadership?,(Leadership)
Does he show emotional flexibility in his reactions to problems?,(Emotional_Intelligence)
Does he participate actively in team discussions?,(Cooperation)
Does she notice when others need help without being told?,(Help_Others)
Is she able to communicate negative feedback in a positive way?,(Communication)
Does he promote accountability within the team?,(Leadership)
Does she inspire creativity and innovation in her team?,(Leadership)
Is she good at leading the team through organizational changes?,(Leadership)
Does she seek to understand the emotional needs of others in the workplace?,(Emotional_Intelligence)
Does he look for ways to self-improve outside of work?,(Self_Motivation)
How quickly does he adapt to new processes or software for better efficiency?,(Work_Efficiency)
Does she respond to feedback with openness rather than frustration?,(Emotional_Intelligence)
Is she willing to lend a hand with work outside her responsibility?,(Help_Others)
Does she adjust her working habits when the team dynamic shifts?,(Adaptability)
Is she able to maintain motivation while working independently?,(Self_Motivation)
How well does she keep her emotions in check under pressure?,(Emotional_Intelligence)
Does he assist in ensuring smooth collaboration across different teams?,(Cooperation)
Is he able to manage both positive and negative emotions constructively?,(Emotional_Intelligence)
How frequently does he suggest innovative ideas for projects?,(Innovation)
Does she actively seek clarification when something is unclear?,(Communication)
How well does she organize her day-to-day tasks to stay on track?,(Work_Efficiency)
Does she create detailed action plans to solve complex issues?,(Problem_Solving)
How well does he understand and align with team goals?,(Ease_of_Working_Together)
Is he open to feedback from other team members?,(Cooperation)
How would you describe her attitude in group settings?,(Ease_of_Working_Together)
How effectively does she communicate changes in team plans or goals?,(Cooperation)
Is he persistent in working through difficult tasks?,(Self_Motivation)
Does she frequently help team members without being asked?,(Help_Others)
How would you rate his communication during team efforts?,(Ease_of_Working_Together)
Does she collaborate well in group settings?,(Cooperation)
Does he actively listen to others' emotional concerns?,(Emotional_Intelligence)
Does he maintain consistency in punctuality across different tasks?,(Punctuality)
Does she communicate clearly and concisely with the team?,(Communication)
Is he quick to shift gears when new goals are introduced?,(Adaptability)
How timely is she with her responses to questions or clarifications?,(Punctuality)
Does she explore multiple options before deciding on a solution?,(Problem_Solving)
How often does she offer help to junior employees?,(Help_Others)
How often does he exceed the expectations of his role?,(Self_Motivation)
Does she contribute significantly to developing new products or services?,(Innovation)
Is he good at evaluating risks and consequences when solving problems?,(Problem_Solving)
How well does he analyze problems before coming up with solutions?,(Problem_Solving)
How efficiently does he complete his tasks?,(Work_Efficiency)
Does he take time to explain concepts to those who need help?,(Help_Others)
How actively does she encourage others' participation in teamwork?,(Ease_of_Working_Together)
How well does he handle setbacks while maintaining motivation?,(Self_Motivation)
How well does she navigate work environments with changing dynamics?,(Adaptability)
How effectively does he manage his emotions when under criticism?,(Emotional_Intelligence)
How well does he explore alternative approaches to traditional methods?,(Innovation)
Does he struggle with punctuality in submitting work?,(Punctuality)
Does he often submit work before the deadline?,(Punctuality)
Is he known for his determination to see projects through to completion?,(Self_Motivation)
Is she proactive in helping others finish their tasks?,(Help_Others)
How often does she assist in keeping team dynamics positive?,(Ease_of_Working_Together)
Does he delegate tasks effectively to maintain high work efficiency?,(Work_Efficiency)
Is he persistent when solving difficult problems?,(Problem_Solving)
Does she demonstrate a high level of self-discipline at work?,(Self_Motivation)
Does he handle emotionally sensitive topics with care?,(Emotional_Intelligence)
Does he share knowledge and insights with others?,(Help_Others)
Does she help bridge gaps between different team members during conflicts?,(Cooperation)
Is he known for communicating efficiently in time-sensitive situations?,(Communication)
Does he avoid procrastination and get things done on time?,(Work_Efficiency)
Does she provide constructive feedback to help others grow?,(Leadership)
How effective is he at staying on course when plans shift unexpectedly?,(Adaptability)
Is he someone who can be relied on to be punctual?,(Punctuality)
Is he capable of resolving conflicts or obstacles in projects?,(Problem_Solving)
How effectively does he communicate long-term plans and strategies?,(Communication)
How well does he apply innovative methods to optimize team workflows?,(Innovation)
Does she manage her time well while working on multiple tasks?,(Work_Efficiency)
How often does he make team efforts smoother?,(Ease_of_Working_Together)
Does he ensure that the team has the resources they need to succeed?,(Leadership)
Does she take a proactive approach to identifying problems early?,(Problem_Solving)
Does she provide clear instructions when delegating tasks?,(Communication)
How effectively does she translate innovative ideas into action?,(Innovation)
Is he known for disrupting conventional thinking in a positive way?,(Innovation)
Does he ensure that everyone in the team is included in discussions?,(Cooperation)
Is he good at managing his emotional responses to challenges?,(Emotional_Intelligence)
How often does he push boundaries to find new ways of working?,(Innovation)
Does he make working together enjoyable and productive?,(Ease_of_Working_Together)
"How well does she manage virtual communication (email, video calls, etc.)?",(Communication)
Does he guide others through difficult tasks they are unfamiliar with?,(Help_Others)
How much does she support the team in difficult times?,(Help_Others)
Does she stay open to feedback to improve her innovative ideas?,(Innovation)
Does she learn new processes or skills when the job requires it?,(Adaptability)
How open is he to adjusting his approach based on feedback from others?,(Adaptability)
Is she known for thinking outside the box when facing challenges?,(Innovation)
Does he ever require extra time to complete assignments?,(Punctuality)
Is she patient and cooperative when the team is under pressure?,(Ease_of_Working_Together)
How effective is he at managing his time to stay productive?,(Self_Motivation)
Is she receptive to others' input during projects?,(Cooperation)
How well does he juggle changes in both team and individual goals?,(Adaptability)
How well does she maintain emotional resilience during setbacks?,(Emotional_Intelligence)
How regularly does he meet deadlines?,(Punctuality)
How actively does she facilitate cooperation among team members?,(Cooperation)
How well does she navigate emotionally complex situations with grace?,(Emotional_Intelligence)
Is he known for maintaining focus even in the face of distractions?,(Self_Motivation)
Does she optimize her approach to complete work more quickly?,(Work_Efficiency)
Does she collaborate well on brainstorming new ideas?,(Innovation)
Does he use logical reasoning to solve work-related problems?,(Problem_Solving)
Does he foster a spirit of teamwork and openness?,(Cooperation)
How often does he seek feedback to push his performance higher?,(Self_Motivation)
Does she consistently push for creative approaches in problem-solving?,(Innovation)
Does she encourage her team to reach their full potential?,(Leadership)
Is he known for going the extra mile to complete tasks?,(Self_Motivation)
How well does he prioritize problems and address the most urgent ones first?,(Problem_Solving)
Does she manage to keep her tone appropriate in all forms of communication?,(Communication)
Is she able to think creatively under pressure?,(Innovation)
Does she manage sudden personnel changes in the team gracefully?,(Adaptability)
How frequently does he deliver work late?,(Punctuality)
Is he quick to address misunderstandings in communication?,(Communication)
How well does he integrate creative thinking into his daily tasks?,(Innovation)
How well does he incorporate feedback into his communication style?,(Communication)
Is she comfortable working outside her usual area of expertise?,(Adaptability)
Does she motivate her team to think innovatively?,(Innovation)
Does he handle his workload efficiently during busy periods?,(Work_Efficiency)
Does he take breaks at appropriate times to keep his productivity up?,(Work_Efficiency)
Is she proactive in providing feedback to her colleagues?,(Communication)
Does she offer help when others are behind schedule?,(Help_Others)
Is he good at transforming new ideas into viable business solutions?,(Innovation)
How much does he contribute to the team's success?,(Cooperation)
How effectively does he handle difficult conversations with emotional_Intelligence?,(Emotional_Intelligence)
Does he effectively balance speed and thoroughness in his tasks?,(Work_Efficiency)
Does she handle criticism without becoming defensive?,(Emotional_Intelligence)
Does she advocate for continuous improvement and innovation?,(Innovation)
Is he innovative in coming up with new ways to solve problems?,(Problem_Solving)
Does she allocate her time appropriately across different projects?,(Work_Efficiency)
How well does he handle unexpected problems during projects?,(Problem_Solving)
Does she often have last-minute submissions?,(Punctuality)
How well does she handle disagreements while working together?,(Ease_of_Working_Together)
Does she prioritize tasks in a way that maximizes efficiency?,(Work_Efficiency)
How well does he follow up on assignments after submission?,(Punctuality)
How does he manage distractions and maintain focus on tasks?,(Work_Efficiency)
Is he always on track with the project timeline?,(Punctuality)
How well does she control her reactions when things go wrong?,(Emotional_Intelligence)
Does she respect team decisions even when she disagrees?,(Ease_of_Working_Together)
How often does she rely on data to solve problems at work?,(Problem_Solving)
Does he take steps to improve his productivity at work?,(Work_Efficiency)
How much does she help out during team challenges or crises?,(Help_Others)
Does he make himself available to help others with their work?,(Help_Others)
Does he offer constructive feedback while working with teammates?,(Ease_of_Working_Together)
Is he someone who motivates others to work together?,(Cooperation)
How well does he balance speed with accuracy in his work?,(Work_Efficiency)
Is he skilled at anticipating potential challenges in a project?,(Problem_Solving)
Does he stay calm and clear when communicating under pressure?,(Communication)
Does she use available tools and technology to boost efficiency?,(Work_Efficiency)
Does he create an environment where others feel comfortable sharing ideas?,(Communication)
Does he demonstrate self-awareness in emotionally charged interactions?,(Emotional_Intelligence)
Is he adept at finding the root cause of a problem quickly?,(Problem_Solving)
Is he proactive in testing and refining innovative ideas?,(Innovation)
Does she approach complex problems with creative solutions?,(Problem_Solving)
Does she excel at applying creative solutions to complex issues?,(Innovation)
How effectively does she plan and execute projects on time?,(Work_Efficiency)
Is he known for completing high-quality work quickly?,(Work_Efficiency)
How well does he communicate updates on project progress?,(Communication)
How well does he adjust his communication style for different audiences?,(Communication)
Is she able to adjust her work when new technologies are introduced?,(Adaptability)
How well does she manage her emotions in the workplace?,(Emotional_Intelligence)
Does he remain flexible when asked to take on new responsibilities?,(Adaptability)
Is she a strong advocate for teamwork in the workplace?,(Cooperation)
Does she approach problems with optimism and resourcefulness?,(Problem_Solving)
How well does she resolve conflicts to keep the team unified?,(Cooperation)
Does she demonstrate empathy toward her colleagues?,(Emotional_Intelligence)
Does he show adaptability when the team's strategy changes?,(Ease_of_Working_Together)
Does he take initiative in leading projects without being asked?,(Leadership)
Is he self-driven in completing his tasks ahead of deadlines?,(Self_Motivation)
Does he encourage open dialogue and respect among colleagues?,(Cooperation)
Does she apply creative solutions to recurring issues?,(Problem_Solving)
How well does he stick to the deadline given by the team?,(Punctuality)
Does she maintain focus and consistency while working?,(Work_Efficiency)
Does he act as a resource for teammates when they need guidance?,(Help_Others)
How well does he balance listening and speaking in discussions?,(Communication)
Is he good at recognizing the emotions of others?,(Emotional_Intelligence)
Does she seek out new technologies or tools to enhance work efficiency?,(Innovation)
How often does he cause delays in the team's overall progress?,(Punctuality)
Is she good at fostering a strong team culture?,(Leadership)
Is he capable of delivering quality results under time constraints?,(Work_Efficiency)
Does he contribute to creating a collaborative work culture?,(Ease_of_Working_Together)
Does she proactively seek out tasks that challenge her skills?,(Self_Motivation)
How effectively does he prioritize the most critical problems to address?,(Problem_Solving)
Does she help others prioritize or organize their work?,(Help_Others)
How often does she summarize key points at the end of discussions?,(Communication)
Does he share credit for team achievements?,(Cooperation)
Does she take initiative in suggesting new projects or improvements?,(Self_Motivation)
How would you rate his ability to handle diverse working styles?,(Ease_of_Working_Together)
Does she involve her team when trying to find solutions to a problem?,(Problem_Solving)
How quickly does he accept constructive criticism and change accordingly?,(Adaptability)
Does she consistently improve her methods to work more efficiently?,(Work_Efficiency)
Is he generally open to others' opinions while working together?,(Ease_of_Working_Together)
Does she ensure her team is well-informed about changes?,(Communication)
How well does she adapt to different leadership styles?,(Adaptability)
Is she always willing to compromise for the sake of the team?,(Ease_of_Working_Together)
Does she welcome new ideas and implement them effectively?,(Adaptability)
How well does he motivate himself in high-stress situations?,(Self_Motivation)
Does she provide clear direction and support to her team?,(Leadership)
Does he foster an environment where others feel encouraged to innovate?,(Innovation)
How frequently does he contribute new concepts during project planning?,(Innovation)
Does he promote a culture of teamwork and cooperation?,(Cooperation)
Does he maintain enthusiasm even during challenging projects?,(Self_Motivation)
Does he often deliver tasks before they're due?,(Punctuality)
How well does he manage the expectations of team members?,(Leadership)
How well does he approach both technical and interpersonal problems?,(Problem_Solving)
Is working with her a pleasant experience overall?,(Ease_of_Working_Together)
How effective is she in maintaining a positive work dynamic?,(Ease_of_Working_Together)
How well does she manage her stress levels in high-pressure situations?,(Emotional_Intelligence)
How well does he coordinate with team members to achieve common goals?,(Cooperation)
Does he encourage collaboration and trust within his team?,(Leadership)
Is he able to self-motivate when dealing with mundane tasks?,(Self_Motivation)
Does she empower her team to make decisions?,(Leadership)
Is she quick to adapt her work style to achieve better efficiency?,(Work_Efficiency)
Does she handle sudden changes in workload with ease?,(Adaptability)
How well does he recognize and develop future leaders within the team?,(Leadership)
Is she approachable for clarifying tasks during collaboration?,(Ease_of_Working_Together)
Does he volunteer to take on tasks for others when they are overwhelmed?,(Help_Others)
Is he quick to offer solutions that enhance team cooperation?,(Cooperation)
How well does she guide her team toward achieving their goals?,(Leadership)
Does she show patience when dealing with difficult situations?,(Emotional_Intelligence)
Does she think outside the box when conventional solutions fail?,(Problem_Solving)
Does she work well in team efforts?,(Cooperation)
Does she encourage innovative thinking among her team?,(Innovation)
Does she communicate effectively with senior management?,(Communication)
How would you describe his listening skills when working with others?,(Ease_of_Working_Together)
How effectively does he delegate responsibilities?,(Leadership)
How effectively does she balance emotional considerations in her decisions?,(Emotional_Intelligence)
Does she use the right communication channels depending on the situation?,(Communication)
How well does she reduce redundancy in her work process?,(Work_Efficiency)
How well does she handle unexpected shifts in project priorities?,(Adaptability)
How often does he take responsibility for the team's performance?,(Leadership)
Does she frequently set new challenges for herself?,(Self_Motivation)
How well does she balance her work with team input?,(Ease_of_Working_Together)
Does he communicate delays in advance when he can’t meet deadlines?,(Punctuality)
Is he good at de-escalating emotionally tense situations?,(Emotional_Intelligence) 
Is the employee capable of making tough decisions?,(Leadership)
How quickly does she adjust to changes in the work environment?,(Adaptability)
Does she handle leadership transitions smoothly?,(Leadership)
Does she set specific goals to keep herself motivated?,(Self_Motivation)
Does he willingly engage in cooperative efforts?,(Cooperation)
Does he encourage cooperation between teammates?,(Cooperation)
How consistently does she manage to finish tasks before deadlines?,(Work_Efficiency)
Does she submit tasks late without valid reasons?,(Punctuality)
How well does she lead by example in her daily work?,(Leadership)
Is he able to resolve issues under high-pressure situations?,(Problem_Solving)
Does she mentor or guide others in the team?,(Help_Others)
Does he have a tendency to delay tasks for no clear reason?,(Punctuality)
Is she good at clarifying instructions when confusion arises?,(Communication)
How effectively does she handle multiple projects that shift in priority?,(Adaptability)
Does she consider the emotional impact of her actions on others?,(Emotional_Intelligence)
How likely is he to volunteer for additional duties to help others?,(Help_Others)
Does he handle ambiguity well in high-stakes situations?,(Adaptability)
Is he proactive in taking on new responsibilities without being told?,(Self_Motivation)
Does he experiment with new technologies or approaches regularly?,(Innovation)
How often does she offer assistance before being asked?,(Help_Others)
How well does she balance her opinions with the team's direction?,(Cooperation)
Does she push herself to exceed expectations at work?,(Self_Motivation)
Does he embrace new challenges or resist them?,(Adaptability)
How well does she show understanding when dealing with upset colleagues?,(Emotional_Intelligence)
How often does he welcome opportunities to step out of his comfort zone?,(Adaptability)
Does she communicate deadlines and expectations clearly?,(Communication)
"Does she solve issues independently, or does she require a lot of help?",(Problem_Solving)
How well does he implement his solutions after problem-solving?,(Problem_Solving)
How well does she align her leadership approach with team dynamics?,(Leadership)
Does he ever miss deadlines without informing?,(Punctuality)
How does she handle team roles and responsibilities?,(Ease_of_Working_Together)
Does she find ways to stay productive during slower periods?,(Self_Motivation)
How well does he convey his thoughts in writing?,(Communication)
How seamless is it to work with her on team tasks?,(Ease_of_Working_Together)
Is he approachable and open to suggestions from his team?,(Leadership)
How much effort does she put into helping the team collaborate?,(Cooperation)
Does he respond positively to requests for assistance?,(Help_Others)
Does she complete her work without needing extra time or resources?,(Work_Efficiency)
How often does she adjust her approach to meet new demands?,(Adaptability)
Does she remain patient during difficult group discussions?,(Ease_of_Working_Together)
Does he actively seek feedback from other team members?,(Cooperation)
How well does he empathize with others' feelings and perspectives?,(Emotional_Intelligence)
Is he known for creating solutions that save time or resources?,(Innovation)
How often does she take on leadership roles in new initiatives?,(Leadership)
Does she bring positive energy by helping others even when busy herself?,(Help_Others)
Does he actively look for ways to contribute beyond his role?,(Self_Motivation)
Does he pivot his strategies when the initial plan fails?,(Adaptability)
How well does she handle interruptions while maintaining work efficiency?,(Work_Efficiency)
Does she meet urgent deadlines effectively?,(Punctuality)
Is he proactive in resolving conflicts within the team?,(Leadership)
How well does he manage the diverse strengths of his team?,(Leadership)
How often does she help colleagues with skills she is good at?,(Help_Others)
How often does she deliver her work ahead of schedule?,(Work_Efficiency)
Does he remain level-headed in emotionally draining environments?,(Emotional_Intelligence)
How open is he to taking risks to innovate in his work?,(Innovation)
Does she readily adjust to working with new software or technologies?,(Adaptability)
Does he simplify complex tasks through teamwork?,(Ease_of_Working_Together)
Does he understand how his emotions affect his decision-making?,(Emotional_Intelligence)
How well does he handle problems that involve multiple stakeholders?,(Problem_Solving)
How often does she suggest improvements to prevent recurring issues?,(Problem_Solving)
How well does she handle group decisions that she doesn’t agree with?,(Cooperation)
How much effort does she put into keeping the team's workflow smooth?,(Ease_of_Working_Together)
How well does he recognize untapped opportunities for innovation?,(Innovation)
How well does she balance multiple tasks while staying motivated?,(Self_Motivation)
Is he a good role model for the people he leads?,(Leadership)
Is he a go-to person when someone needs help?,(Help_Others)
How often does he seek opportunities for self-improvement?,(Self_Motivation)
How actively does he contribute to team brainstorming?,(Cooperation)
How often does she prioritize team success over individual recognition?,(Cooperation)
Does she make space for others to share their ideas?,(Cooperation)
Does he manage leadership responsibilities alongside his own tasks effectively?,(Leadership)
How effectively does he handle difficult conversations?,(Communication)
Is he easy to reach and communicate with during group projects?,(Ease_of_Working_Together)
Does she share her expertise to make others' tasks easier?,(Help_Others)
Does she adapt her problem-solving techniques based on the situation?,(Problem_Solving)
How often does she offer input during meetings?,(Cooperation)
How often does he exceed his personal targets without external pressure?,(Self_Motivation)
Does she balance authority with empathy in her leadership approach?,(Leadership)
Does she maintain a positive attitude while working through problems?,(Problem_Solving)
Is he capable of working well under unpredictable conditions?,(Adaptability)
Is she good at identifying when others need emotional support?,(Emotional_Intelligence)
How often does she take the initiative to solve problems independently?,(Self_Motivation)
Does he use past experiences to help solve current problems?,(Problem_Solving)
Does she stay updated on industry trends to drive innovation?,(Innovation)
describe the employee's ability to make tough decisions that benefit the team?,(Leadership)
Is he aware of the impact of his emotions on team dynamics?,(Emotional_Intelligence) 
Is the employee a good sport?',(Ease_of_Working_Together)  
How good of a sport is he?,(Ease_of_Working_Together) 
How would you describe her ability to make tough decisions that benefit the team?,(Leadership)
